892420643555336193,37806,8246
892177421306343426,32492,6091
891815181378084864,24456,4029
891689557279858688,41159,8391
891327558926688256,39344,9095
891087950875897856,19777,3015
890971913173991426,11563,1994
890729181411237888,63768,18316
890609185150312448,27190,4147
890240255349198849,31165,7159
890006608113172480,29953,7119
889880896479866881,27169,4828
889665388333682689,46974,9747
889638837579907072,26496,4397
889531135344209921,14771,2184
889278841981685760,24656,5210
888917238123831296,28455,4371
888804989199671297,24972,4158
888554962724278272,19372,3436
888078434458587136,21259,3388
887705289381826560,29491,5228
887517139158093824,45198,11361
887473957103951883,67377,17646
887343217045368832,32904,10124
887101392804085760,29873,5788
886983233522544640,34325,7544
886736880519319552,11775,3180
886680336477933568,21928,4330
886366144734445568,20704,3107
886267009285017600,116,4
886258384151887873,27350,6113
886054160059072513,0,104
885984800019947520,31877,6567
885528943205470208,35119,6239
885518971528720385,19954,3643
885311592912609280,0,18015
885167619883638784,21403,4259
884925521741709313,75534,17737
884876753390489601,27275,5453
884562892145688576,23728,4558
884441805382717440,26376,5501
884247878851493888,71264,19932
884162670584377345,19882,2896
883838122936631299,21391,3352
883482846933004288,44856,9648
883360690899218434,22161,3601
883117836046086144,36314,6475
882992080364220416,23409,3812
882762694511734784,27649,4764
882627270321602560,27300,5922
882268110199369728,43909,11275
882045870035918850,28677,4818
881906580714921986,23759,3304
881666595344535552,49436,10380
881633300179243008,124,7
881536004380872706,48275,15523
881268444196462592,22578,5038
880935762899988482,16657,2708
880872448815771648,20780,3727
880465832366813184,27891,6108
880221127280381952,26420,4103
880095782870896641,26996,4225
879862464715927552,21841,3405
879674319642796034,301,10
879492040517615616,22901,3094
879415818425184262,103449,43112
879376492567855104,16415,3031
879130579576475649,0,6639
879050749262655488,22048,4585
879008229531029506,18560,2624
878776093423087618,18973,4024
878604707211726852,29578,7018
878404777348136964,0,1252
878316110768087041,0,6485
878281511006478336,7567,1252
878057613040115712,41094,6639
877736472329191424,77901,18609
877611172832227328,0,78
877556246731214848,22220,3705
877316821321428993,26785,5056
877201837425926144,26525,5444
876838120628539392,20251,3259
876537666061221889,23032,4531
876484053909872640,18365,2336
876120275196170240,27342,4572
875747767867523072,24660,4190
875144289856114688,21476,4825
875097192612077568,26842,5919
875021211251597312,24952,4614
874680097055178752,27258,4544
874434818259525634,0,14394
874296783580663808,25530,4021
874057562936811520,22236,3873
874012996292530176,33840,10191
873580283840344065,23736,3855
873337748698140672,0,1554
873213775632977920,7088,1554
872967104147763200,26808,5309
872820683541237760,14451,3628
872620804844003328,20401,3629
872486979161796608,39948,8870
872122724285648897,33789,7994
871879754684805121,37277,10971
871762521631449091,19912,3425
871515927908634625,19873,3406
871166179821445120,0,5614
871102520638267392,20596,5432
871032628920680449,22331,3765
870804317367881728,33108,6123
870726314365509632,117,3
870656317836468226,12228,2608
870374049280663552,81526,25920
870308999962521604,21535,4105
870063196459192321,36120,8249
869772420881756160,41847,9925
869702957897576449,27866,6285
869596645499047938,15782,3107
869227993411051520,20204,3757
868880397819494401,64827,14356
868639477480148993,0,2081
868622495443632128,26434,5261
868552278524837888,10012,2081
867900495410671616,23941,4157
867774946302451713,33630,7300
867421006826221569,15960,2490
867072653475098625,0,120
867051520902168576,31954,7827
866720684873056260,19901,4790
866686824827068416,19139,3466
866450705531457537,121273,35192
866334964761202691,52124,14394
866094527597207552,0,8348
865718153858494464,25465,5605
865359393868664832,26294,4992
865006731092295680,27831,7677
864873206498414592,32108,8705
864279568663928832,14563,3031
864197398364647424,29996,8929
863907417377173506,20518,4145
863553081350529029,15237,4193
863471782782697472,0,2451
863432100342583297,23740,5253
863427515083354112,2247,97
863079547188785154,8743,1108
863062471531167744,8500,2451
862831371563274240,19116,5118
862722525377298433,17014,3539
862457590147678208,20473,4981
862096992088072192,74296,23403
861383897657036800,36065,10774
861288531465048066,17175,4183
861005113778896900,16705,3824
860981674716409858,0,2178
860924035999428608,0,826
860563773140209665,7517,2178
860524505164394496,23635,5328
860276583193509888,18315,3504
860184849394610176,16698,5907
860177593139703809,0,31166
859924526012018688,19587,4123
859851578198683649,15435,3547
859607811541651456,18635,1592
859196978902773760,90056,30541
859074603037188101,33987,13776
858860390427611136,0,8252
858843525470990336,15605,3525
858471635011153920,21591,4905
858107933456039936,15791,2942
857989990357356544,16219,2623
